File	Time	Song	Artist	Release	YouTube	Spotify	Unearthed
requestival_24	12:04am	HEART ATTACK {Ft. lau.ra}	BRONSON	BRONSON 	https://www.youtube.com/results?search_query=BRONSON%20HEART%20ATTACK%20{Ft.%20lau.ra}	https://play.spotify.com/search/results/artist:BRONSON%20track:HEART%20ATTACK%20%7BFt.%20lau.ra%7D	NA
requestival_24	12:07am	Stylo	Gorillaz	Plastic Beach 	https://www.youtube.com/results?search_query=Gorillaz%20Stylo	https://play.spotify.com/search/results/artist:Gorillaz%20track:Stylo	NA
requestival_24	12:12am	On Our Own	Lime Cordiale	On Our Own 	https://www.youtube.com/results?search_query=Lime%20Cordiale%20On%20Our%20Own	https://play.spotify.com/search/results/artist:Lime%20Cordiale%20track:On%20Our%20Own	https://www.triplejunearthed.com/node/144546
requestival_24	12:16am	Say You Weren't Mine	Maddy Jane	Not All Bad Or Good 	https://www.youtube.com/results?search_query=Maddy%20Jane%20Say%20You%20Weren%27t%20Mine	https://play.spotify.com/search/results/artist:Maddy%20Jane%20track:Say%20You%20Weren't%20Mine	https://www.triplejunearthed.com/node/267436
requestival_24	12:21am	Is Everybody Going Crazy?	Nothing But Thieves	Is Everybody Going Crazy? 	https://www.youtube.com/results?search_query=Nothing%20But%20Thieves%20Is%20Everybody%20Going%20Crazy?	https://play.spotify.com/search/results/artist:Nothing%20But%20Thieves%20track:Is%20Everybody%20Going%20Crazy?	NA
requestival_24	12:26am	ASTRONAUT #DIYSupergroup	EAST AV3	triple j Unearthed's DIY Supergroup 	https://www.youtube.com/results?search_query=EAST%20AV3%20ASTRONAUT%20#DIYSupergroup	https://play.spotify.com/search/results/artist:EAST%20AV3%20track:ASTRONAUT%20#DIYSupergroup	https://www.triplejunearthed.com/node/8439101
requestival_24	12:34am	Hope	Meg Mac	Hope 	https://www.youtube.com/results?search_query=Meg%20Mac%20Hope	https://play.spotify.com/search/results/artist:Meg%20Mac%20track:Hope	https://www.triplejunearthed.com/node/176996
requestival_24	12:38am	Shook	Tkay Maidza	Shook 	https://www.youtube.com/results?search_query=Tkay%20Maidza%20Shook	https://play.spotify.com/search/results/artist:Tkay%20Maidza%20track:Shook	https://www.triplejunearthed.com/node/228251
requestival_24	12:42am	Single Spark	Kim Churchill	Silence/Win 	https://www.youtube.com/results?search_query=Kim%20Churchill%20Single%20Spark	https://play.spotify.com/search/results/artist:Kim%20Churchill%20track:Single%20Spark	https://www.triplejunearthed.com/node/100246
requestival_24	12:44am	Scam Likely	FIDLAR	Almost Free 	https://www.youtube.com/results?search_query=FIDLAR%20Scam%20Likely	https://play.spotify.com/search/results/artist:FIDLAR%20track:Scam%20Likely	NA
requestival_24	12:48am	Rising Sun	Jaguar Jonze	Diamonds & Liquid Gold 	https://www.youtube.com/results?search_query=Jaguar%20Jonze%20Rising%20Sun	https://play.spotify.com/search/results/artist:Jaguar%20Jonze%20track:Rising%20Sun	https://www.triplejunearthed.com/node/7371186
requestival_24	12:51am	Holding On	Classixx	Holding On 	https://www.youtube.com/results?search_query=Classixx%20Holding%20On	https://play.spotify.com/search/results/artist:Classixx%20track:Holding%20On	NA
requestival_24	12:53am	Hair Down	SiR	Hair Down 	https://www.youtube.com/results?search_query=SiR%20Hair%20Down	https://play.spotify.com/search/results/artist:SiR%20track:Hair%20Down	NA
requestival_24	12:56am	Reasons	San Cisco	Reasons 	https://www.youtube.com/results?search_query=San%20Cisco%20Reasons	https://play.spotify.com/search/results/artist:San%20Cisco%20track:Reasons	https://www.triplejunearthed.com/node/66936
requestival_24	1:04am	Wavelength	Stand Atlantic	Wavelength 	https://www.youtube.com/results?search_query=Stand%20Atlantic%20Wavelength	https://play.spotify.com/search/results/artist:Stand%20Atlantic%20track:Wavelength	https://www.triplejunearthed.com/node/2862851
requestival_24	1:07am	Home	Rudimental	Home 	https://www.youtube.com/results?search_query=Rudimental%20Home	https://play.spotify.com/search/results/artist:Rudimental%20track:Home	NA
requestival_24	1:12am	Every Hour	KIAN	Every Hour 	https://www.youtube.com/results?search_query=KIAN%20Every%20Hour	https://play.spotify.com/search/results/artist:KIAN%20track:Every%20Hour	https://www.triplejunearthed.com/node/6732216
requestival_24	1:16am	The Family	Saint Lane	The Family 	https://www.youtube.com/results?search_query=Saint%20Lane%20The%20Family	https://play.spotify.com/search/results/artist:Saint%20Lane%20track:The%20Family	https://www.triplejunearthed.com/node/7973581
requestival_24	1:19am	Dancing Shoes	Arctic Monkeys	Whatever People Say I Am, That's What I'm Not 	https://www.youtube.com/results?search_query=Arctic%20Monkeys%20Dancing%20Shoes	https://play.spotify.com/search/results/artist:Arctic%20Monkeys%20track:Dancing%20Shoes	NA
requestival_24	1:25am	Switched Up	Oliver Malcolm	Switched Up 	https://www.youtube.com/results?search_query=Oliver%20Malcolm%20Switched%20Up	https://play.spotify.com/search/results/artist:Oliver%20Malcolm%20track:Switched%20Up	NA
requestival_24	1:27am	Revolusion	Elliphant	Look Like You Love It 	https://www.youtube.com/results?search_query=Elliphant%20Revolusion	https://play.spotify.com/search/results/artist:Elliphant%20track:Revolusion	NA
requestival_24	1:36am	I'm Good	Hilltop Hoods	I'm Good 	https://www.youtube.com/results?search_query=Hilltop%20Hoods%20I%27m%20Good	https://play.spotify.com/search/results/artist:Hilltop%20Hoods%20track:I'm%20Good	NA
requestival_24	1:38am	Perfect	Sorry	925 	https://www.youtube.com/results?search_query=Sorry%20Perfect	https://play.spotify.com/search/results/artist:Sorry%20track:Perfect	NA
requestival_24	1:42am	Radio Silence	Gretta Ray	Here And Now 	https://www.youtube.com/results?search_query=Gretta%20Ray%20Radio%20Silence	https://play.spotify.com/search/results/artist:Gretta%20Ray%20track:Radio%20Silence	https://www.triplejunearthed.com/node/4786191
requestival_24	1:46am	Dear April {Justice Remix}	Frank Ocean	Dear April 	https://www.youtube.com/results?search_query=Frank%20Ocean%20Dear%20April%20{Justice%20Remix}	https://play.spotify.com/search/results/artist:Frank%20Ocean%20track:Dear%20April%20%7BJustice%20Remix%7D	NA
requestival_24	1:51am	Want You To Know	Asta	Want You To Know [Single] 	https://www.youtube.com/results?search_query=Asta%20Want%20You%20To%20Know	https://play.spotify.com/search/results/artist:Asta%20track:Want%20You%20To%20Know	https://www.triplejunearthed.com/node/162176
requestival_24	1:53am	Drive	Aodhan	Drive 	https://www.youtube.com/results?search_query=Aodhan%20Drive	https://play.spotify.com/search/results/artist:Aodhan%20track:Drive	NA
requestival_24	1:56am	Me & You	Ceres	We Are A Team 	https://www.youtube.com/results?search_query=Ceres%20Me%20&%20You	https://play.spotify.com/search/results/artist:Ceres%20track:Me%20&%20You	https://www.triplejunearthed.com/node/230721
requestival_24	2:06am	Cough Cough	Everything Everything	Arc 	https://www.youtube.com/results?search_query=Everything%20Everything%20Cough%20Cough	https://play.spotify.com/search/results/artist:Everything%20Everything%20track:Cough%20Cough	NA
requestival_24	2:10am	Live Like We're Dancing	Mura Masa (with Georgia)	R.Y.C 	https://www.youtube.com/results?search_query=Mura%20Masa%20(with%20Georgia)%20Live%20Like%20We%27re%20Dancing	https://play.spotify.com/search/results/artist:Mura%20Masa%20(with%20Georgia)%20track:Live%20Like%20We're%20Dancing	NA
requestival_24	2:14am	Langata	Crooked Colours	Langata 	https://www.youtube.com/results?search_query=Crooked%20Colours%20Langata	https://play.spotify.com/search/results/artist:Crooked%20Colours%20track:Langata	https://www.triplejunearthed.com/node/206086
requestival_24	2:18am	Dead Horse	Hayley Williams	Petals For Armor 	https://www.youtube.com/results?search_query=Hayley%20Williams%20Dead%20Horse	https://play.spotify.com/search/results/artist:Hayley%20Williams%20track:Dead%20Horse	NA
requestival_24	2:22am	Trembling Hands	The Temper Trap	The Temper Trap 	https://www.youtube.com/results?search_query=The%20Temper%20Trap%20Trembling%20Hands	https://play.spotify.com/search/results/artist:The%20Temper%20Trap%20track:Trembling%20Hands	NA
requestival_24	2:27am	Apocalypse (#DIYSupergroup)	JEFFE & Jack Gray	triple j Unearthed's DIY Supergroup 	https://www.youtube.com/results?search_query=JEFFE%20&%20Jack%20Gray%20Apocalypse%20(#DIYSupergroup)	https://play.spotify.com/search/results/artist:JEFFE%20&%20Jack%20Gray%20track:Apocalypse%20(#DIYSupergroup)	NA
requestival_24	2:31am	In This State	Hockey Dad	Brain Candy 	https://www.youtube.com/results?search_query=Hockey%20Dad%20In%20This%20State	https://play.spotify.com/search/results/artist:Hockey%20Dad%20track:In%20This%20State	https://www.triplejunearthed.com/node/245451
requestival_24	2:34am	Body Parts	Love Fame Tragedy	Body Parts 	https://www.youtube.com/results?search_query=Love%20Fame%20Tragedy%20Body%20Parts	https://play.spotify.com/search/results/artist:Love%20Fame%20Tragedy%20track:Body%20Parts	NA
requestival_24	2:37am	Freaks	FISHER	Freaks 	https://www.youtube.com/results?search_query=FISHER%20Freaks	https://play.spotify.com/search/results/artist:FISHER%20track:Freaks	NA
requestival_24	2:40am	Leader Of The Delinquents	Kid Cudi	Leader Of The Delinquents 	https://www.youtube.com/results?search_query=Kid%20Cudi%20Leader%20Of%20The%20Delinquents	https://play.spotify.com/search/results/artist:Kid%20Cudi%20track:Leader%20Of%20The%20Delinquents	NA
requestival_24	2:43am	Ch-Ching	Chairlift	Moth 	https://www.youtube.com/results?search_query=Chairlift%20Ch-Ching	https://play.spotify.com/search/results/artist:Chairlift%20track:Ch-Ching	NA
requestival_24	2:47am	Panic	Annie Hamilton	Panic 	https://www.youtube.com/results?search_query=Annie%20Hamilton%20Panic	https://play.spotify.com/search/results/artist:Annie%20Hamilton%20track:Panic	https://www.triplejunearthed.com/node/7161066
requestival_24	2:51am	Sheena Is A Bush Doofer	HARRIS	Sheena Is A Bush Doofer 	https://www.youtube.com/results?search_query=HARRIS%20Sheena%20Is%20A%20Bush%20Doofer	https://play.spotify.com/search/results/artist:HARRIS%20track:Sheena%20Is%20A%20Bush%20Doofer	NA
requestival_24	2:55am	Lily & The Moon	Thornhill	The Dark Pool 	https://www.youtube.com/results?search_query=Thornhill%20Lily%20&%20The%20Moon	https://play.spotify.com/search/results/artist:Thornhill%20track:Lily%20&%20The%20Moon	https://www.triplejunearthed.com/node/5822991
requestival_24	3:04am	Blur	Great Gable	Blur 	https://www.youtube.com/results?search_query=Great%20Gable%20Blur	https://play.spotify.com/search/results/artist:Great%20Gable%20track:Blur	https://www.triplejunearthed.com/node/4597631
requestival_24	3:07am	Forgotten Love	AURORA	Forgotten Love 	https://www.youtube.com/results?search_query=AURORA%20Forgotten%20Love	https://play.spotify.com/search/results/artist:AURORA%20track:Forgotten%20Love	NA
requestival_24	3:10am	Righteous	Juice WRLD	Righteous 	https://www.youtube.com/results?search_query=Juice%20WRLD%20Righteous	https://play.spotify.com/search/results/artist:Juice%20WRLD%20track:Righteous	NA
requestival_24	3:14am	Norway	Harper Finn	Norway 	https://www.youtube.com/results?search_query=Harper%20Finn%20Norway	https://play.spotify.com/search/results/artist:Harper%20Finn%20track:Norway	NA
requestival_24	3:18am	Boomerang	Dave Winnel	Boomerang 	https://www.youtube.com/results?search_query=Dave%20Winnel%20Boomerang	https://play.spotify.com/search/results/artist:Dave%20Winnel%20track:Boomerang	https://www.triplejunearthed.com/node/7980176
requestival_24	3:21am	Movies	Circa Waves	What's It Like Over There? 	https://www.youtube.com/results?search_query=Circa%20Waves%20Movies	https://play.spotify.com/search/results/artist:Circa%20Waves%20track:Movies	NA
