DateTime	Song	Artist	Release	IsUnearthed	UnearthedURL	SpotifyQuery	SpotifyURL	YouTubeQuery	YouTubeURL
2020-05-24T20:05:00Z	Shooting Stars	Bag Raiders	Shooting Stars	FALSE	NA	artist:Bag%20Raiders%20track:Shooting%20Stars	https://play.spotify.com/search/results/artist:Bag%20Raiders%20track:Shooting%20Stars	Bag%20Raiders%20Shooting%20Stars	https://www.youtube.com/results?search_query=Bag%20Raiders%20Shooting%20Stars
2020-05-24T20:09:00Z	Robert Smith	Cry Club	Robert Smith	TRUE	https://www.triplejunearthed.com/node/7009371	artist:Cry%20Club%20track:Robert%20Smith	https://play.spotify.com/search/results/artist:Cry%20Club%20track:Robert%20Smith	Cry%20Club%20Robert%20Smith	https://www.youtube.com/results?search_query=Cry%20Club%20Robert%20Smith
2020-05-24T20:14:00Z	Milkshake	Kelis	Tasty	FALSE	NA	artist:Kelis%20track:Milkshake	https://play.spotify.com/search/results/artist:Kelis%20track:Milkshake	Kelis%20Milkshake	https://www.youtube.com/results?search_query=Kelis%20Milkshake
2020-05-24T20:17:00Z	Breakapart	Polish Club	Iguana	TRUE	https://www.triplejunearthed.com/node/3764116	artist:Polish%20Club%20track:Breakapart	https://play.spotify.com/search/results/artist:Polish%20Club%20track:Breakapart	Polish%20Club%20Breakapart	https://www.youtube.com/results?search_query=Polish%20Club%20Breakapart
2020-05-24T20:22:00Z	Life Goes On	E^ST	Life Goes On	TRUE	https://www.triplejunearthed.com/node/2863081	artist:E%5EST%20track:Life%20Goes%20On	https://play.spotify.com/search/results/artist:E%5EST%20track:Life%20Goes%20On	E^ST%20Life%20Goes%20On	https://www.youtube.com/results?search_query=E^ST%20Life%20Goes%20On
2020-05-24T20:26:00Z	We Used To Be Friends	The Dandy Warhols	Welcome to the Monkey House	FALSE	NA	artist:The%20Dandy%20Warhols%20track:We%20Used%20To%20Be%20Friends	https://play.spotify.com/search/results/artist:The%20Dandy%20Warhols%20track:We%20Used%20To%20Be%20Friends	The%20Dandy%20Warhols%20We%20Used%20To%20Be%20Friends	https://www.youtube.com/results?search_query=The%20Dandy%20Warhols%20We%20Used%20To%20Be%20Friends
2020-05-24T20:35:00Z	Opinions Won't Keep You Warm At Night	Kisschasy	Hymns For The Nonbeliever	FALSE	NA	artist:Kisschasy%20track:Opinions%20Won't%20Keep%20You%20Warm%20At%20Night	https://play.spotify.com/search/results/artist:Kisschasy%20track:Opinions%20Won't%20Keep%20You%20Warm%20At%20Night	Kisschasy%20Opinions%20Won%27t%20Keep%20You%20Warm%20At%20Night	https://www.youtube.com/results?search_query=Kisschasy%20Opinions%20Won%27t%20Keep%20You%20Warm%20At%20Night
2020-05-24T20:39:00Z	Come Down	Anderson .Paak	Malibu	FALSE	NA	artist:Anderson%20.Paak%20track:Come%20Down	https://play.spotify.com/search/results/artist:Anderson%20.Paak%20track:Come%20Down	Anderson%20.Paak%20Come%20Down	https://www.youtube.com/results?search_query=Anderson%20.Paak%20Come%20Down
2020-05-24T20:43:00Z	Eugene	Arlo Parks	Eugene	FALSE	NA	artist:Arlo%20Parks%20track:Eugene	https://play.spotify.com/search/results/artist:Arlo%20Parks%20track:Eugene	Arlo%20Parks%20Eugene	https://www.youtube.com/results?search_query=Arlo%20Parks%20Eugene
2020-05-24T20:47:00Z	Smooth Criminal	Alien Ant Farm	Anthology	FALSE	NA	artist:Alien%20Ant%20Farm%20track:Smooth%20Criminal	https://play.spotify.com/search/results/artist:Alien%20Ant%20Farm%20track:Smooth%20Criminal	Alien%20Ant%20Farm%20Smooth%20Criminal	https://www.youtube.com/results?search_query=Alien%20Ant%20Farm%20Smooth%20Criminal
2020-05-24T20:53:00Z	Pretty Lady	Tash Sultana	Pretty Lady	TRUE	https://www.triplejunearthed.com/node/257746	artist:Tash%20Sultana%20track:Pretty%20Lady	https://play.spotify.com/search/results/artist:Tash%20Sultana%20track:Pretty%20Lady	Tash%20Sultana%20Pretty%20Lady	https://www.youtube.com/results?search_query=Tash%20Sultana%20Pretty%20Lady
2020-05-24T21:05:00Z	Bulletproof	La Roux	Bulletproof	FALSE	NA	artist:La%20Roux%20track:Bulletproof	https://play.spotify.com/search/results/artist:La%20Roux%20track:Bulletproof	La%20Roux%20Bulletproof	https://www.youtube.com/results?search_query=La%20Roux%20Bulletproof
2020-05-24T21:09:00Z	Move Along	The All-American Rejects	Move Along	FALSE	NA	artist:The%20All-American%20Rejects%20track:Move%20Along	https://play.spotify.com/search/results/artist:The%20All-American%20Rejects%20track:Move%20Along	The%20All-American%20Rejects%20Move%20Along	https://www.youtube.com/results?search_query=The%20All-American%20Rejects%20Move%20Along
2020-05-24T21:15:00Z	The Glow	DMA'S	The Glow	FALSE	NA	artist:DMA'S%20track:The%20Glow	https://play.spotify.com/search/results/artist:DMA'S%20track:The%20Glow	DMA%27S%20The%20Glow	https://www.youtube.com/results?search_query=DMA%27S%20The%20Glow
2020-05-24T21:19:00Z	Bags	Clairo	Immunity	FALSE	NA	artist:Clairo%20track:Bags	https://play.spotify.com/search/results/artist:Clairo%20track:Bags	Clairo%20Bags	https://www.youtube.com/results?search_query=Clairo%20Bags
2020-05-24T21:25:00Z	Good For You	Spacey Jane	Good For You	TRUE	https://www.triplejunearthed.com/node/6016761	artist:Spacey%20Jane%20track:Good%20For%20You	https://play.spotify.com/search/results/artist:Spacey%20Jane%20track:Good%20For%20You	Spacey%20Jane%20Good%20For%20You	https://www.youtube.com/results?search_query=Spacey%20Jane%20Good%20For%20You
2020-05-24T21:28:00Z	All Night	Chance The Rapper	All Night	FALSE	NA	artist:Chance%20The%20Rapper%20track:All%20Night	https://play.spotify.com/search/results/artist:Chance%20The%20Rapper%20track:All%20Night	Chance%20The%20Rapper%20All%20Night	https://www.youtube.com/results?search_query=Chance%20The%20Rapper%20All%20Night
2020-05-24T21:35:00Z	Gemini	What So Not	Gemini	FALSE	NA	artist:What%20So%20Not%20track:Gemini	https://play.spotify.com/search/results/artist:What%20So%20Not%20track:Gemini	What%20So%20Not%20Gemini	https://www.youtube.com/results?search_query=What%20So%20Not%20Gemini
2020-05-24T21:40:00Z	Purple Pills	D12	Purple Pills	FALSE	NA	artist:D12%20track:Purple%20Pills	https://play.spotify.com/search/results/artist:D12%20track:Purple%20Pills	D12%20Purple%20Pills	https://www.youtube.com/results?search_query=D12%20Purple%20Pills
2020-05-24T21:47:00Z	Beware The Dog	The Griswolds	Be Impressive	TRUE	https://www.triplejunearthed.com/node/199446	artist:The%20Griswolds%20track:Beware%20The%20Dog	https://play.spotify.com/search/results/artist:The%20Griswolds%20track:Beware%20The%20Dog	The%20Griswolds%20Beware%20The%20Dog	https://www.youtube.com/results?search_query=The%20Griswolds%20Beware%20The%20Dog
2020-05-24T21:51:00Z	Painkiller	Ruel	Painkiller	FALSE	NA	artist:Ruel%20track:Painkiller	https://play.spotify.com/search/results/artist:Ruel%20track:Painkiller	Ruel%20Painkiller	https://www.youtube.com/results?search_query=Ruel%20Painkiller
2020-05-24T21:56:00Z	Pussy Is God	King Princess	Pussy Is God	FALSE	NA	artist:King%20Princess%20track:Pussy%20Is%20God	https://play.spotify.com/search/results/artist:King%20Princess%20track:Pussy%20Is%20God	King%20Princess%20Pussy%20Is%20God	https://www.youtube.com/results?search_query=King%20Princess%20Pussy%20Is%20God
2020-05-24T22:05:00Z	We Are The People	Empire Of The Sun	Walking On A Dream	FALSE	NA	artist:Empire%20Of%20The%20Sun%20track:We%20Are%20The%20People	https://play.spotify.com/search/results/artist:Empire%20Of%20The%20Sun%20track:We%20Are%20The%20People	Empire%20Of%20The%20Sun%20We%20Are%20The%20People	https://www.youtube.com/results?search_query=Empire%20Of%20The%20Sun%20We%20Are%20The%20People
2020-05-24T22:10:00Z	Dreams	Fleetwood Mac	Rumours	FALSE	NA	artist:Fleetwood%20Mac%20track:Dreams	https://play.spotify.com/search/results/artist:Fleetwood%20Mac%20track:Dreams	Fleetwood%20Mac%20Dreams	https://www.youtube.com/results?search_query=Fleetwood%20Mac%20Dreams
2020-05-24T22:16:00Z	Gina Works At Hearts	DZ Deathrays	Black Rat	TRUE	https://www.triplejunearthed.com/node/69391	artist:DZ%20Deathrays%20track:Gina%20Works%20At%20Hearts	https://play.spotify.com/search/results/artist:DZ%20Deathrays%20track:Gina%20Works%20At%20Hearts	DZ%20Deathrays%20Gina%20Works%20At%20Hearts	https://www.youtube.com/results?search_query=DZ%20Deathrays%20Gina%20Works%20At%20Hearts
2020-05-24T22:20:00Z	Witchcraft	Pendulum	Immersion	FALSE	NA	artist:Pendulum%20track:Witchcraft	https://play.spotify.com/search/results/artist:Pendulum%20track:Witchcraft	Pendulum%20Witchcraft	https://www.youtube.com/results?search_query=Pendulum%20Witchcraft
2020-05-24T22:26:00Z	Welcome to the Black Parade	My Chemical Romance	The Black Parade	FALSE	NA	artist:My%20Chemical%20Romance%20track:Welcome%20to%20the%20Black%20Parade	https://play.spotify.com/search/results/artist:My%20Chemical%20Romance%20track:Welcome%20to%20the%20Black%20Parade	My%20Chemical%20Romance%20Welcome%20to%20the%20Black%20Parade	https://www.youtube.com/results?search_query=My%20Chemical%20Romance%20Welcome%20to%20the%20Black%20Parade
2020-05-24T22:36:00Z	Dead Horse	Hayley Williams	Petals For Armor	FALSE	NA	artist:Hayley%20Williams%20track:Dead%20Horse	https://play.spotify.com/search/results/artist:Hayley%20Williams%20track:Dead%20Horse	Hayley%20Williams%20Dead%20Horse	https://www.youtube.com/results?search_query=Hayley%20Williams%20Dead%20Horse
2020-05-24T22:40:00Z	These Walls	Kendrick Lamar	To Pimp A Butterfly	FALSE	NA	artist:Kendrick%20Lamar%20track:These%20Walls	https://play.spotify.com/search/results/artist:Kendrick%20Lamar%20track:These%20Walls	Kendrick%20Lamar%20These%20Walls	https://www.youtube.com/results?search_query=Kendrick%20Lamar%20These%20Walls
2020-05-24T22:46:00Z	I'll Make A Man Out Of You	Donny Osmond	Mulan	FALSE	NA	artist:Donny%20Osmond%20track:I'll%20Make%20A%20Man%20Out%20Of%20You	https://play.spotify.com/search/results/artist:Donny%20Osmond%20track:I'll%20Make%20A%20Man%20Out%20Of%20You	Donny%20Osmond%20I%27ll%20Make%20A%20Man%20Out%20Of%20You	https://www.youtube.com/results?search_query=Donny%20Osmond%20I%27ll%20Make%20A%20Man%20Out%20Of%20You
2020-05-24T22:52:00Z	LDN	Lily Allen	Alright, Still...	FALSE	NA	artist:Lily%20Allen%20track:LDN	https://play.spotify.com/search/results/artist:Lily%20Allen%20track:LDN	Lily%20Allen%20LDN	https://www.youtube.com/results?search_query=Lily%20Allen%20LDN
2020-05-24T22:56:00Z	Jellyfish	Slowly Slowly	Jellyfish	TRUE	https://www.triplejunearthed.com/node/283731	artist:Slowly%20Slowly%20track:Jellyfish	https://play.spotify.com/search/results/artist:Slowly%20Slowly%20track:Jellyfish	Slowly%20Slowly%20Jellyfish	https://www.youtube.com/results?search_query=Slowly%20Slowly%20Jellyfish
2020-05-24T23:03:00Z	On Our Own	Lime Cordiale	On Our Own	TRUE	https://www.triplejunearthed.com/node/144546	artist:Lime%20Cordiale%20track:On%20Our%20Own	https://play.spotify.com/search/results/artist:Lime%20Cordiale%20track:On%20Our%20Own	Lime%20Cordiale%20On%20Our%20Own	https://www.youtube.com/results?search_query=Lime%20Cordiale%20On%20Our%20Own
2020-05-24T23:10:00Z	Levels	Avicii	Levels	FALSE	NA	artist:Avicii%20track:Levels	https://play.spotify.com/search/results/artist:Avicii%20track:Levels	Avicii%20Levels	https://www.youtube.com/results?search_query=Avicii%20Levels
2020-05-24T23:15:00Z	Nightmare	Halsey	Halsey	FALSE	NA	artist:Halsey%20track:Nightmare	https://play.spotify.com/search/results/artist:Halsey%20track:Nightmare	Halsey%20Nightmare	https://www.youtube.com/results?search_query=Halsey%20Nightmare
2020-05-24T23:18:00Z	Baby, I'm Getting Better	Gyroscope	Cohesion	FALSE	NA	artist:Gyroscope%20track:Baby,%20I'm%20Getting%20Better	https://play.spotify.com/search/results/artist:Gyroscope%20track:Baby,%20I'm%20Getting%20Better	Gyroscope%20Baby,%20I%27m%20Getting%20Better	https://www.youtube.com/results?search_query=Gyroscope%20Baby,%20I%27m%20Getting%20Better
2020-05-24T23:22:00Z	Lost	Frank Ocean	Channel Orange	FALSE	NA	artist:Frank%20Ocean%20track:Lost	https://play.spotify.com/search/results/artist:Frank%20Ocean%20track:Lost	Frank%20Ocean%20Lost	https://www.youtube.com/results?search_query=Frank%20Ocean%20Lost
2020-05-24T23:28:00Z	Unlock It {Ft. Kim Petras, Jay Park}	Charli XCX	Pop 2	FALSE	NA	artist:Charli%20XCX%20track:Unlock%20It%20%7BFt.%20Kim%20Petras,%20Jay%20Park%7D	https://play.spotify.com/search/results/artist:Charli%20XCX%20track:Unlock%20It%20%7BFt.%20Kim%20Petras,%20Jay%20Park%7D	Charli%20XCX%20Unlock%20It%20{Ft.%20Kim%20Petras,%20Jay%20Park}	https://www.youtube.com/results?search_query=Charli%20XCX%20Unlock%20It%20{Ft.%20Kim%20Petras,%20Jay%20Park}
2020-05-24T23:32:00Z	Can't Get Enough	Bugs	Can't Get Enough	TRUE	https://www.triplejunearthed.com/node/3190431	artist:Bugs%20track:Can't%20Get%20Enough	https://play.spotify.com/search/results/artist:Bugs%20track:Can't%20Get%20Enough	Bugs%20Can%27t%20Get%20Enough	https://www.youtube.com/results?search_query=Bugs%20Can%27t%20Get%20Enough
2020-05-24T23:35:00Z	Ratchet	Bloc Party	The Nextwave Sessions	FALSE	NA	artist:Bloc%20Party%20track:Ratchet	https://play.spotify.com/search/results/artist:Bloc%20Party%20track:Ratchet	Bloc%20Party%20Ratchet	https://www.youtube.com/results?search_query=Bloc%20Party%20Ratchet
2020-05-24T23:39:00Z	Heart Of Glass	Blondie	Heart Of Glass	FALSE	NA	artist:Blondie%20track:Heart%20Of%20Glass	https://play.spotify.com/search/results/artist:Blondie%20track:Heart%20Of%20Glass	Blondie%20Heart%20Of%20Glass	https://www.youtube.com/results?search_query=Blondie%20Heart%20Of%20Glass
2020-05-24T23:46:00Z	WOKEUPINJAPAN	Agung Mango	WOKEUPINJAPAN	TRUE	https://www.triplejunearthed.com/node/8116926	artist:Agung%20Mango%20track:WOKEUPINJAPAN	https://play.spotify.com/search/results/artist:Agung%20Mango%20track:WOKEUPINJAPAN	Agung%20Mango%20WOKEUPINJAPAN	https://www.youtube.com/results?search_query=Agung%20Mango%20WOKEUPINJAPAN
2020-05-24T23:49:00Z	The Seed	AURORA	The Seed	FALSE	NA	artist:AURORA%20track:The%20Seed	https://play.spotify.com/search/results/artist:AURORA%20track:The%20Seed	AURORA%20The%20Seed	https://www.youtube.com/results?search_query=AURORA%20The%20Seed
2020-05-24T23:53:00Z	Pineapple Head	Crowded House	Together Alone	FALSE	NA	artist:Crowded%20House%20track:Pineapple%20Head	https://play.spotify.com/search/results/artist:Crowded%20House%20track:Pineapple%20Head	Crowded%20House%20Pineapple%20Head	https://www.youtube.com/results?search_query=Crowded%20House%20Pineapple%20Head
2020-05-24T23:55:00Z	All My Friends	Great Gable	All My Friends	TRUE	https://www.triplejunearthed.com/node/4597631	artist:Great%20Gable%20track:All%20My%20Friends	https://play.spotify.com/search/results/artist:Great%20Gable%20track:All%20My%20Friends	Great%20Gable%20All%20My%20Friends	https://www.youtube.com/results?search_query=Great%20Gable%20All%20My%20Friends
2020-05-25T00:04:00Z	Energy	Stace Cadet & KLP	Energy	FALSE	NA	artist:Stace%20Cadet%20&%20KLP%20track:Energy	https://play.spotify.com/search/results/artist:Stace%20Cadet%20&%20KLP%20track:Energy	Stace%20Cadet%20&%20KLP%20Energy	https://www.youtube.com/results?search_query=Stace%20Cadet%20&%20KLP%20Energy
2020-05-25T00:08:00Z	Black & Gold	Sam Sparro	Black & Gold	FALSE	NA	artist:Sam%20Sparro%20track:Black%20&%20Gold	https://play.spotify.com/search/results/artist:Sam%20Sparro%20track:Black%20&%20Gold	Sam%20Sparro%20Black%20&%20Gold	https://www.youtube.com/results?search_query=Sam%20Sparro%20Black%20&%20Gold
2020-05-25T00:11:00Z	Tricks	Stella Donnelly	Beware Of The Dogs	TRUE	https://www.triplejunearthed.com/node/5877211	artist:Stella%20Donnelly%20track:Tricks	https://play.spotify.com/search/results/artist:Stella%20Donnelly%20track:Tricks	Stella%20Donnelly%20Tricks	https://www.youtube.com/results?search_query=Stella%20Donnelly%20Tricks
2020-05-25T00:15:00Z	Waking Up In L.A	Debbies	Waking Up In L.A	TRUE	https://www.triplejunearthed.com/node/7829221	artist:Debbies%20track:Waking%20Up%20In%20L.A	https://play.spotify.com/search/results/artist:Debbies%20track:Waking%20Up%20In%20L.A	Debbies%20Waking%20Up%20In%20L.A	https://www.youtube.com/results?search_query=Debbies%20Waking%20Up%20In%20L.A
2020-05-25T00:20:00Z	Ask For The Anthem	Ocean Grove	Ask For The Anthem	TRUE	https://www.triplejunearthed.com/node/3805516	artist:Ocean%20Grove%20track:Ask%20For%20The%20Anthem	https://play.spotify.com/search/results/artist:Ocean%20Grove%20track:Ask%20For%20The%20Anthem	Ocean%20Grove%20Ask%20For%20The%20Anthem	https://www.youtube.com/results?search_query=Ocean%20Grove%20Ask%20For%20The%20Anthem
2020-05-25T00:24:00Z	Hot Shit	Towkio	Hot Shit	FALSE	NA	artist:Towkio%20track:Hot%20Shit	https://play.spotify.com/search/results/artist:Towkio%20track:Hot%20Shit	Towkio%20Hot%20Shit	https://www.youtube.com/results?search_query=Towkio%20Hot%20Shit
2020-05-25T00:30:00Z	Roam	The B-52's	Cosmic Thing	FALSE	NA	artist:The%20B-52's%20track:Roam	https://play.spotify.com/search/results/artist:The%20B-52's%20track:Roam	The%20B-52%27s%20Roam	https://www.youtube.com/results?search_query=The%20B-52%27s%20Roam
2020-05-25T00:36:00Z	Homecoming Queen	Thelma Plum	Better In Blak	TRUE	https://www.triplejunearthed.com/node/155361	artist:Thelma%20Plum%20track:Homecoming%20Queen	https://play.spotify.com/search/results/artist:Thelma%20Plum%20track:Homecoming%20Queen	Thelma%20Plum%20Homecoming%20Queen	https://www.youtube.com/results?search_query=Thelma%20Plum%20Homecoming%20Queen
2020-05-25T00:40:00Z	Turn	The Wombats	Beautiful People Will Ruin Your Life	FALSE	NA	artist:The%20Wombats%20track:Turn	https://play.spotify.com/search/results/artist:The%20Wombats%20track:Turn	The%20Wombats%20Turn	https://www.youtube.com/results?search_query=The%20Wombats%20Turn
2020-05-25T00:47:00Z	All My Friends	LCD Soundsystem	Sound of Silver	FALSE	NA	artist:LCD%20Soundsystem%20track:All%20My%20Friends	https://play.spotify.com/search/results/artist:LCD%20Soundsystem%20track:All%20My%20Friends	LCD%20Soundsystem%20All%20My%20Friends	https://www.youtube.com/results?search_query=LCD%20Soundsystem%20All%20My%20Friends
2020-05-25T00:52:00Z	Tangerine	The Lazy Eyes	Tangerine	TRUE	https://www.triplejunearthed.com/node/5225011	artist:The%20Lazy%20Eyes%20track:Tangerine	https://play.spotify.com/search/results/artist:The%20Lazy%20Eyes%20track:Tangerine	The%20Lazy%20Eyes%20Tangerine	https://www.youtube.com/results?search_query=The%20Lazy%20Eyes%20Tangerine
2020-05-25T00:56:00Z	Elevator Operator	Courtney Barnett	Sometimes I Sit and Think,...	TRUE	https://www.triplejunearthed.com/node/103621	artist:Courtney%20Barnett%20track:Elevator%20Operator	https://play.spotify.com/search/results/artist:Courtney%20Barnett%20track:Elevator%20Operator	Courtney%20Barnett%20Elevator%20Operator	https://www.youtube.com/results?search_query=Courtney%20Barnett%20Elevator%20Operator
2020-05-25T01:04:00Z	raingurl	yaeji	EP2	FALSE	NA	artist:yaeji%20track:raingurl	https://play.spotify.com/search/results/artist:yaeji%20track:raingurl	yaeji%20raingurl	https://www.youtube.com/results?search_query=yaeji%20raingurl
2020-05-25T01:08:00Z	Seasons (Waiting On You)	Future Islands	Singles	FALSE	NA	artist:Future%20Islands%20track:Seasons%20(Waiting%20On%20You)	https://play.spotify.com/search/results/artist:Future%20Islands%20track:Seasons%20(Waiting%20On%20You)	Future%20Islands%20Seasons%20(Waiting%20On%20You)	https://www.youtube.com/results?search_query=Future%20Islands%20Seasons%20(Waiting%20On%20You)
2020-05-25T01:12:00Z	Happy	The Hard Aches	Happy	TRUE	https://www.triplejunearthed.com/node/2862921	artist:The%20Hard%20Aches%20track:Happy	https://play.spotify.com/search/results/artist:The%20Hard%20Aches%20track:Happy	The%20Hard%20Aches%20Happy	https://www.youtube.com/results?search_query=The%20Hard%20Aches%20Happy
2020-05-25T01:16:00Z	Psycho	Mia Rodriguez	Psycho	TRUE	https://www.triplejunearthed.com/node/8943051	artist:Mia%20Rodriguez%20track:Psycho	https://play.spotify.com/search/results/artist:Mia%20Rodriguez%20track:Psycho	Mia%20Rodriguez%20Psycho	https://www.youtube.com/results?search_query=Mia%20Rodriguez%20Psycho
2020-05-25T01:20:00Z	Break The Bank	ScHoolboy Q	Oxymoron	FALSE	NA	artist:ScHoolboy%20Q%20track:Break%20The%20Bank	https://play.spotify.com/search/results/artist:ScHoolboy%20Q%20track:Break%20The%20Bank	ScHoolboy%20Q%20Break%20The%20Bank	https://www.youtube.com/results?search_query=ScHoolboy%20Q%20Break%20The%20Bank
2020-05-25T01:25:00Z	Desk Chair	Teen Jesus And The Jean Teasers	Desk Chair	TRUE	https://www.triplejunearthed.com/node/4997001	artist:Teen%20Jesus%20And%20The%20Jean%20Teasers%20track:Desk%20Chair	https://play.spotify.com/search/results/artist:Teen%20Jesus%20And%20The%20Jean%20Teasers%20track:Desk%20Chair	Teen%20Jesus%20And%20The%20Jean%20Teasers%20Desk%20Chair	https://www.youtube.com/results?search_query=Teen%20Jesus%20And%20The%20Jean%20Teasers%20Desk%20Chair
2020-05-25T01:30:00Z	Bad Reputation	Joan Jett	Bad Reputation	FALSE	NA	artist:Joan%20Jett%20track:Bad%20Reputation	https://play.spotify.com/search/results/artist:Joan%20Jett%20track:Bad%20Reputation	Joan%20Jett%20Bad%20Reputation	https://www.youtube.com/results?search_query=Joan%20Jett%20Bad%20Reputation
2020-05-25T01:33:00Z	Acceptable In The 80s	Calvin Harris	Acceptable In The 80s	FALSE	NA	artist:Calvin%20Harris%20track:Acceptable%20In%20The%2080s	https://play.spotify.com/search/results/artist:Calvin%20Harris%20track:Acceptable%20In%20The%2080s	Calvin%20Harris%20Acceptable%20In%20The%2080s	https://www.youtube.com/results?search_query=Calvin%20Harris%20Acceptable%20In%20The%2080s
2020-05-25T01:37:00Z	Peace	Alison Wonderland	Peace	FALSE	NA	artist:Alison%20Wonderland%20track:Peace	https://play.spotify.com/search/results/artist:Alison%20Wonderland%20track:Peace	Alison%20Wonderland%20Peace	https://www.youtube.com/results?search_query=Alison%20Wonderland%20Peace
2020-05-25T01:40:00Z	Take A Walk On The Wild Side / Can I Kick It (triple j Like A Version 2013)	Horrorshow	Like A Version	FALSE	NA	artist:Horrorshow%20track:Take%20A%20Walk%20On%20The%20Wild%20Side%20/%20Can%20I%20Kick%20It%20(triple%20j%20Like%20A%20Version%202013)	https://play.spotify.com/search/results/artist:Horrorshow%20track:Take%20A%20Walk%20On%20The%20Wild%20Side%20/%20Can%20I%20Kick%20It%20(triple%20j%20Like%20A%20Version%202013)	Horrorshow%20Take%20A%20Walk%20On%20The%20Wild%20Side%20/%20Can%20I%20Kick%20It%20(triple%20j%20Like%20A%20Version%202013)	https://www.youtube.com/results?search_query=Horrorshow%20Take%20A%20Walk%20On%20The%20Wild%20Side%20/%20Can%20I%20Kick%20It%20(triple%20j%20Like%20A%20Version%202013)
2020-05-25T01:47:00Z	Coin Laundry	Lisa Mitchell	Coin Laundry	FALSE	NA	artist:Lisa%20Mitchell%20track:Coin%20Laundry	https://play.spotify.com/search/results/artist:Lisa%20Mitchell%20track:Coin%20Laundry	Lisa%20Mitchell%20Coin%20Laundry	https://www.youtube.com/results?search_query=Lisa%20Mitchell%20Coin%20Laundry
2020-05-25T01:51:00Z	Gamma Knife	King Gizzard & The Lizard Wizard	Nonagon Infinity	FALSE	NA	artist:King%20Gizzard%20&%20The%20Lizard%20Wizard%20track:Gamma%20Knife	https://play.spotify.com/search/results/artist:King%20Gizzard%20&%20The%20Lizard%20Wizard%20track:Gamma%20Knife	King%20Gizzard%20&%20The%20Lizard%20Wizard%20Gamma%20Knife	https://www.youtube.com/results?search_query=King%20Gizzard%20&%20The%20Lizard%20Wizard%20Gamma%20Knife
2020-05-25T01:56:00Z	Better	Jack Garratt	Love, Death & Dancing Vol. 2	FALSE	NA	artist:Jack%20Garratt%20track:Better	https://play.spotify.com/search/results/artist:Jack%20Garratt%20track:Better	Jack%20Garratt%20Better	https://www.youtube.com/results?search_query=Jack%20Garratt%20Better
